ID,Nome,Telem�vel,Refer�ncia,Fam�lia de,Nacionalidade,Pedidos,Notas,Telemovel,Referencia
,Clifford Yundt,,,,,,,+12665892451,Spencer Boyle
1,Mable Ferry,910488849,colega,3,"Brasileira ",,menina 11 anos,+18348054525,Katrina VonRueden
2,Bert Adams,938375806,,,Bangladesh,,,+19262274871,Catherine Nienow
3,Jenna Lemke,966536990,,,,,,+19697101855,Miss Joan Reynolds
4,Doug Pfeffer,927505977,"Adjamila ",2,S�o Tom�,,,+16597618103,Eula Bradtke
5,Alvin Larson Jr.,937039930,colega adriano,6,Brasileira,"Passa � frente na fila. ",boys 4 and 5,+14462655277,Willard Mayert
6,Kari Bogan,938176136,"amigo ",1,brasileiro,,,+15388436822,Brooke Balistreri DVM
7,Johanna Bogisich,966141593,"D.Am�lia ",4,"S�o Tom� ",,,+16358182275,Katherine Adams
8,Alicia Carroll,934844889,Janaina (igreja),,,,Avisados,+16953849130,Alyssa Herzog
9,Eduardo Rice,920135065,Junta S L�zaro,3,,girl 3 boy 6,Avisados,+14846904964,Alex Hintz
10,Walter Hodkiewicz,915206220,"J�ssica ",1,Brasileira,,,+13166829097,Janet Predovic
11,Shannon Ernser,964724982,Facebook,4,Brasileiro,menino 1m,,+15578433423,Ray Ernser
12,Perry Yost,,17 anos,,Senegal,,Adolescer,+12568703705,Benjamin Farrell
13,Wanda Ankunding,915681662,"redes sociais ",2,"Argentina ",,,+14308921918,Erma Walter II
14,Kristin Corkery,911053996,Daiana,1,Colombiano,,,+19877290092,Marcella Hammes
15,Angel Jacobi,913099435,Ucranian chat,,Ucraniana,,,+17252691290,Eddie Strosin I
16,Elaine Funk Sr.,933341474,amiga,4,brasileira,,,+13978878118,Jonathan Weissnat
17,Elsa Friesen IV,913415678,Facebook,4,"Portugu�s ",menino 4,casa de brincar,+16538855521,Alton Dickens
18,Leona Pacocha,915710815,,,Brasileiros,,,+16296055829,Allan Bednar
19,Angelina Ernser,966303307,Sa de miranda,1,"Espanhol ",,,+19292223224,Mr. Scott Ullrich
20,Josefina Bradtke,,16 anos,,G�mbia,,Adolescer,+17298037378,Ana Carroll
21,Elsa Parisian,914053852,Bruno Mesquita,4,Brasileiros,,,+15423217043,Jaime Zieme
22,Fannie Graham,,T�nia,,,,,+14059502695,Lynne Howell
23,Nicolas Jacobi,933651314,"D. Am�lia ",,,"camas crian�a e adulto sof�s, mesa, ",,+14963909512,Diane Buckridge-Olson
24,Ross Bednar,938558466,amiga,4,"angola ",,,+13964848042,Dr. Cameron Corwin
25,Richard Kassulke,910841296,amigos,5,"Guin� ",,"gr�vida ",+15183164164,Vicky Kulas-Lebsack
26,Dr. Luther McDermott,914230577,"Carla ",,,,,+19386672381,Tina Herman
27,Claude Gutmann,931892315,Sa ser Miranda,2,Em Salvador,,,+12693324008,Dr. Jermaine Ruecker PhD
28,Lisa Romaguera,910500196,amiga,4,portuguesa,,gr�vida  e menino 6 anos,+16487333659,Fred Howell
29,Mr. Jesus Bednar,913608146,amiga,1,portuguesa,,,+19566935452,Karl O'Hara-O'Keefe V
30,Dr. Eric Paucek,98872764,amigo,4,brasileira,,,+14299808751,Regina Waters
31,Amelia Cormier,913175380,Amiga,4,Brasileiro,,,+19385676639,Lena Howe
32,Kellie Pfannerstill DVM,939143275,irm�,5,"brasileira ",,,+14292119478,Valerie Schoen III
33,Carrie Mueller,933950510,,3,brasileira,,,+19776394541,Mrs. Traci Keebler
34,Wilbert Durgan,910823837,Yelizavete,4,Ucraniana,,,+13149326215,Benny Koelpin
35,Grace Hagenes,912840805,,,,,,+15353716014,Allan Reinger Sr.
36,Clinton Waelchi,95723513,Let�cia,,,,,+12452011520,Alfredo Schinner
37,Bernard King,965173165,Mila,1,Brasileiro,,,+18289659773,Lynn Rogahn
38,Brandon Hackett MD,932335321,amigos,2,"colombiano ",,,+18053055800,Desiree Goldner Sr.
39,Mitchell Dickens II,915723513,s. votor,3,"brasileiro ",,,+13783936203,Dr. Curtis Jenkins
40,Darrel Effertz,925525491,Junta S�o L�zaro,,,,,+18153610565,Leah Will
41,Elsa Willms,938031930,Evelin,4,Colombiano,,,+16823988305,Gail O'Reilly
42,Guadalupe Pouros,913809383,"amiga ",2,"brasileira ",,,+15539576380,Mr. Alfredo McDermott DVM
43,Tracey Wyman,913539478,Amiga,1,Brasileira,,,+14315742101,Wilson Murazik
44,Herman Zemlak,937200673,grupo wpp,1,"brasileira ",,,+14156246028,Sarah Gutkowski
45,Tasha Feest,929157803,Amigo Ladi,2,Columbiano,,Menina 3,+13548901122,Loren Hessel
46,Terrance Connelly,931411102,,1,colombiana,,,+15575213368,Billy Yundt
47,Andre Herzog,960080155,"Junta Freguesia ",,"venezuela ",,,+15596159201,Robin Franey
48,Genevieve Zboncak,914915016,amigo,1,"portugu�s ",,projeto homem,+16539837882,Maryann Wilkinson
49,Mr. Mathew Abernathy,913822696,namorado 233,4,Portuguesa,,G�meos 4,+17035264630,Alexander Wolf
50,Nicole Schamberger,932050226,Farhad,2,Peruano,,,+16634915798,Harriet Bogan
51,Bernice Rath,931879310,6,4,brasileira,,,+13053685627,Tracy Sporer V
52,Leticia Kuvalis,911949057,amigos,3,"Brasileiro ",,menina 3 anos,+16465881410,Kristy D'Amore
53,Gary Armstrong-Windler I,936074550,Elisandra,,Portuguesa,,,+13706241467,Calvin Gerhold
54,Maria Romaguera,911949057,"amigo ",3,brasileira,,,+17716666396,Ada McDermott
55,Jermaine Jast,963427305,,2,Brasileiro,,,+12888718804,Jeanette Schmitt
56,Wade O'Hara,912921623,"Junta Freg S�o Laz ",2,Brasileiros,,,+17066605594,Marshall Gutmann
57,Rosie Cassin,920039998,,3,Nepal,menino 7m,,+15827987140,Adrienne Powlowski MD
58,Bob Hyatt DVM,,"Igreja S. L�zaro ",,"Port./Mo�ambique ",5 filhos fora,Vive na rua,+13508548196,Pamela Weimann DDS
59,Ivan Howe,931922795,amigo,2,"Venezuela ",,"menino 1 ano ",+12288623240,Wanda Little
60,Gwen Mills,913762595,Funci. Shopping,4,portugu�sa,2 meninas 1 e 6 anos,,+13268099539,Marion Denesik
61,Sheila Willms,920236551,,,,,,+12106871773,Ruby Botsford-Ziemann
62,Lynette Huel,,Brasileiros,,Brasileiros,,,+18348330288,Irving Fadel-Weimann
63,Mable Beier,926603248,amiga,3,"Uruguai ",,,+13887485296,Willis Kling
64,Marianne Mante,920121067,Rapariga Brasileira,6,Columbiana,,,+15209637749,Jerald Weissnat
65,Jeannie VonRueden,914275185,amigo,3,colombiana,,,+18216785741,Allison Willms IV
66,Sherman Leannon,913325267,amigos,3,"brasileira ",,,+14984315470,Beatrice Effertz
67,Jacquelyn Heidenreich,920187946,amigos,4,"Guin� ",,menina 3,+14038883251,Matthew Deckow PhD
68,Bert Turcotte,920076610,Micael - ucraniano,1,Ucraniano,,,+19615393719,Neil Schumm DVM
69,Verna Corkery,927963755,Amiga,4,Brasileiro,,Boys 12 e 19,+18758262364,Sherman Wiegand
70,Mrs. Monique Block,933950482,amigo,3,brasileiro,,,+16699897372,Brooke Heidenreich-Schulist
71,Toby Greenfelder,969632750,amigo,4,"brasileiros ",,,+13175512424,Ruby O'Kon
72,Terry Ledner,964892761,Local de trabalho,,,,,+16164225779,Antoinette Crona
73,Kellie Feest,933597119,"Grupo de doa��o ",3,"Brasileiro ",,,+14824978909,Moses Moen
74,Roland Haag,961075812,Amigo,5,"brasileiros ",,,+17769474752,Myrtle Stracke
75,Abel Muller II,,S� de Miranda,2,Colombiano,,,+13442023959,Sarah Nikolaus
76,Jon Reynolds PhD,915511952,publica��o,3,"colombiano ",,,+19437025187,Jermaine Durgan
77,Clara Emard,915224536,Amigos brasileiros,,Brasileiros,,,+16415774473,Alvin Lehner Sr.
78,Nora Bode,965891064,amiga,4,Brasileiro,,,+13822886139,Jim Herman
